ImportedFunction,Encoding
?ApplyConfig2@CROX_SkinUI@@QAEXPAUHWND__@@PB_W@Z,0
GetCurrentProcess,1
WriteFile,2
SetFilePointer,3
FlushFileBuffers,4
SetEndOfFile,5
FindClose,6
FindFirstFileA,7
GetFullPathNameA,8
RtlUnwind,9
HeapFree,10
HeapAlloc,11
ExitProcess,12
TerminateProcess,13
GetStartupInfoA,14
GetCommandLineA,15
GetDriveTypeA,16
GetTimeZoneInformation,17
GetSystemTime,18
GetLocalTime,19
RaiseException,20
SetErrorMode,21
HeapReAlloc,22
HeapSize,23
SetStdHandle,24
GetFileType,25
SetHandleCount,26
GetStdHandle,27
GetEnvironmentVariableA,28
HeapDestroy,29
HeapCreate,30
VirtualFree,31
VirtualAlloc,32
UnhandledExceptionFilter,33
FreeEnvironmentStringsA,34
FreeEnvironmentStringsW,35
GetEnvironmentStrings,36
GetEnvironmentStringsW,37
LCMapStringA,38
LCMapStringW,39
SetUnhandledExceptionFilter,40
GetStringTypeA,41
GetStringTypeW,42
IsBadReadPtr,43
IsBadCodePtr,44
CompareStringA,45
CompareStringW,46
IsValidLocale,47
IsValidCodePage,48
EnumSystemLocalesA,49
GetUserDefaultLCID,50
GetLocaleInfoW,51
FindResourceExA,52
GetOEMCP,53
GetCPInfo,54
GetProcessVersion,55
GlobalFlags,56
TlsGetValue,57
LocalReAlloc,58
TlsSetValue,59
GlobalReAlloc,60
TlsFree,61
GlobalHandle,62
TlsAlloc,63
EnterCriticalSection,64
LeaveCriticalSection,65
DeleteCriticalSection,66
InitializeCriticalSection,67
GlobalFree,68
GlobalUnlock,69
MulDiv,70
lstrcpynA,71
SetLastError,72
GlobalGetAtomNameA,73
GlobalAddAtomA,74
GlobalFindAtomA,75
WritePrivateProfileStringA,76
GetPrivateProfileStringA,77
GlobalLock,78
GlobalAlloc,79
GlobalDeleteAtom,80
lstrcmpA,81
GetCurrentThread,82
GetCurrentThreadId,83
InterlockedDecrement,84
InterlockedExchange,85
InterlockedIncrement,86
Sleep,87
GetTickCount,88
FileTimeToLocalFileTime,89
FileTimeToSystemTime,90
DeviceIoControl,91
CreateEventA,92
WaitForSingleObject,93
lstrcmpiA,94
GetCurrentDirectoryA,95
CreateFileA,96
GetFileSize,97
ReadFile,98
CloseHandle,99
IsBadWritePtr,100
GetVersion,101
GetModuleHandleA,102
GetWindowsDirectoryA,103
lstrlenW,104
GetLastError,105
LocalAlloc,106
LocalFree,107
FormatMessageA,108
LockResource,109
WideCharToMultiByte,110
FindResourceA,111
SizeofResource,112
LoadResource,113
GetLocaleInfoA,114
GetSystemDefaultLangID,115
GetModuleFileNameA,116
SetCurrentDirectoryA,117
MultiByteToWideChar,118
SetEnvironmentVariableA,119
lstrcpyA,120
lstrcatA,121
lstrlenA,122
WinExec,123
LoadLibraryA,124
GetProcAddress,125
FreeLibrary,126
GetACP,127
GetVersionExA,128
IsDialogMessageA,129
MoveWindow,130
ClientToScreen,131
GetWindowDC,132
BeginPaint,133
EndPaint,134
TabbedTextOutA,135
DrawTextA,136
GrayStringA,137
CreateDialogIndirectParamA,138
EndDialog,139
GetAsyncKeyState,140
WindowFromPoint,141
PostThreadMessageA,142
DestroyMenu,143
UpdateWindow,144
SendDlgItemMessageA,145
MapWindowPoints,146
SetActiveWindow,147
SetFocus,148
AdjustWindowRectEx,149
GetTopWindow,150
GetCapture,151
GetClassInfoA,152
RegisterClassA,153
GetMenu,154
GetSubMenu,155
GetDlgItem,156
GetWindowTextLengthA,157
GetDlgCtrlID,158
DestroyWindow,159
CreateWindowExA,160
GetClassLongA,161
SetPropA,162
GetPropA,163
CallWindowProcA,164
RemovePropA,165
DefWindowProcA,166
GetMessageTime,167
GetMessagePos,168
GetForegroundWindow,169
SetForegroundWindow,170
SetWindowPos,171
RegisterWindowMessageA,172
IsIconic,173
GetLastActivePopup,174
IsWindowEnabled,175
UnhookWindowsHookEx,176
RegisterClipboardFormatA,177
wsprintfA,178
LoadBitmapA,179
GetMenuState,180
ModifyMenuA,181
SetMenuItemBitmaps,182
CheckMenuItem,183
EnableMenuItem,184
GetNextDlgTabItem,185
GetMessageA,186
TranslateMessage,187
DispatchMessageA,188
GetActiveWindow,189
CallNextHookEx,190
ValidateRect,191
PeekMessageA,192
SetWindowsHookExA,193
PostQuitMessage,194
SetWindowTextA,195
IsWindowVisible,196
GetWindowLongA,197
GetClassNameA,198
GetWindowTextA,199
EnumChildWindows,200
MapDialogRect,201
GetWindow,202
GetWindowPlacement,203
CopyRect,204
ShowWindow,205
GetMenuItemCount,206
KillTimer,207
GetCursorPos,208
SetTimer,209
GetDesktopWindow,210
CopyIcon,211
GetMenuItemID,212
